item_group,item_category,item,item_group,item_category,item,item_code
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,ANMUM MATERNA (BIASA/COKLAT),1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS BERVITAMIN CAP F&N,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP GOLD COIN,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP JUNJUNG,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP TEAPOT,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS PEKAT CAP SAJI,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CAIR SAJI,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CAP F&N,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CARNATION,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE ACTIFIT 3X COKLAT,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE ACTIFIT 3X PERISA ASLI,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE GOLD 5X,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ISIAN PEKAT MANIS CAP F & N,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU SEJAT PENUH KRIM CAP IDEAL,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1,1,1,2
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG PENUH KRIM DUTCHLADY,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG PENUH KRIM SEGERA NESPRAY,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA EVERYDAY,1,1,1,2
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),1,1,1,1
BARANGAN BERBUNGKUS,MENTEGA,MENTEGA ANCHOR (SALTED),1,1,1,1
