item_group,item_category,item,item_code,unit,item_group,item_category,item,item_code,unit
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP SOYA PEKAT MANIS CAP AYAM,1828,330 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP TAMIN (DARK SOY SAUCE),2012,350ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP TONG NAM (DARK SOY SAUCE),1837,330 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI KIMBALL,957,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI LIFE,218,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI MAGGI,1070,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI MAGGI,1097,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI THAI LIFE,1137,360g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM ADABI,1117,510 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM KIMBALL,1114,510 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM MAGGI,1138,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM NONA,1116,510 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TOMATO LIFE,1139,330 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TOMATO MAGGI,217,325 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,ANMUM LACTA (BIASA),843,650g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,ANMUM MATERNA (BIASA/COKLAT),336,650g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS BERVITAMIN CAP F&N,883,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP GOLD COIN,884,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP JUNJUNG,388,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP TEAPOT,1873,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS PEKAT CAP SAJI,1953,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CAIR SAJI,1871,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CAP F&N,1952,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CARNATION,1463,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE ACTIFIT 3X COKLAT,1105,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE ACTIFIT 3X PERISA ASLI,334,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE GOLD 5X,335,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ISIAN PEKAT MANIS CAP F & N,1618,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU SEJAT PENUH KRIM CAP IDEAL,320,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',327,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',345,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG PENUH KRIM DUTCHLADY,919,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG PENUH KRIM SEGERA NESPRAY,2008,480 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),1619,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA EVERYDAY,344,550 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA EVERYDAY,1954,900 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),332,550 g,1,1,1,1,1
BARANGAN BERBUNGKUS,MENTEGA,MENTEGA ANCHOR (SALTED),1615,227g,1,1,1,1,1
BARANGAN BERBUNGKUS,MENTEGA,MENTEGA SCS (SALTED),1609,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,CINTAN MI SEGERA PERISA AYAM,1977,5 X 75g,1,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,MAGGI MI SEGERA PERISA KARI,1976,5 X 79g,1,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,MI SEDAP MI GORENG PERISA ASLI,1978,5 X 90g,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1086,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1087,3 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1595,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,246,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,1088,3 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,1596,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1089,3 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1090,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1597,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK PAKET (PELBAGAI JENAMA),918,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1934,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1935,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1936,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,254,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,1091,1kg,1,1,1,1,1
